user_id	last_day_login_count	total_login_count	last_day_online_time	register_ts	total_days_from_register	total_active_days	daily_average_login_count	first_day_login_count	3_days_login_count	7_days_login_count	30_days_login_count	3_days_active	7_days_active	30_days_active	day_3_average_login_count	day_7_average_login_count	day_30_average_login_count	resource_total_number	total_online_time	daily_average_online_time	first_day_online_time	day_3_average_online_time	day_7_average_online_time	day_30_average_online_time	server_id	player_name	power	citylevel	herolevel	lastlogintime	gold	food	wood	oil	steel	cash	total_payment_amount	total_payment_count	total_paid_days	average_payment	average_payment_per_day	first_payment_timestamp	first_payment_amount	first_payment_package	first_payment_from_register	first_payment_activedays_from_register	last_payment_timestamp	last_payment_amount	last_payment_package	last_payment_from_register	last_payment_activedays_from_register	payment_frequency	gold_add_number	gold_remove_number	item_add_number	item_remove_number	troop_produce_number	client_build_count	client_tech_count	client_troop_count	client_trap_count	troop_send_count	troop_batter_number	client_troop_send_count	client_everyday_quest_count	client_allliance_quest_count	client_vip_quest_count	client_random_count	client_event_count	add_gold_alli_number	add_gold_iap_number	add_gold_item_number	add_gold_compensation_number	last_day_payment_amount	last_day_payment_count	createtime
5242881	0.0	0.0	0.0			2.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	0.0	0.5	0.5	153823.0	0.0	0.0	0.0	10.0	10.0	10.0	5.0	Player15242881	1745.0	5.0	5.0	2016-02-26 00:00:00	1000.0	62500.0	14070.0	14652.0	28751.0	33850.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5242883	10.0	15.0	315.0			2.0	7.5	0.0	22.0	65.0	319.0	3.0	7.0	30.0	7.33333333333	9.28571428571	10.6333333333	20979978.0	560.0	280.0	245.0	368.333333333	458.571428571	554.0	5.0	McBoss	83126046.0	21.0	50.0	2016-03-02 00:00:00	279.0	0.0	6549234.0	4233712.0	304223.0	9892809.0	99.99	1.0	1.0	99.99	99.99	2016-03-01 02:28:00	99.99	85.0	0.0	0.0	2016-03-01 02:28:00	99.99	85.0		0.0		99600.0	1788424.0	545.0	465.0	3022.0	0.0	2.0	4.0	0.0	82.0	0.0	40.0	27.0	21.0	13.0	18.0	6.0	0.0	20000.0	79600.0	0.0	99.99	1.0	
5242884	0.0	0.0	0.0			2.0	0.0	0.0	0.0	3.0	5.0	1.0	3.0	6.0	0.0	1.0	0.833333333333	1124409.0	0.0	0.0	0.0	10.0	10.0	10.0	5.0	Ashley	20758.0	5.0	11.0	2016-02-26 00:00:00	250.0	217857.0	285672.0	265612.0	309150.0	46118.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5242885	34.0	70.0	400.0			2.0	35.0	0.0	106.0	273.0	999.0	3.0	7.0	30.0	35.3333333333	39.0	33.3	41367666.0	1030.0	515.0	630.0	508.333333333	535.0	471.5	5.0	Papa Baer	26818215.0	21.0	49.0	2016-03-02 00:00:00	4914.0	21512943.0	10530460.0	5228024.0	2970421.0	1125818.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		22600.0	109041.0	2289.0	2317.0	14000.0	2.0	11.0	1.0	0.0	191.0	3.0	99.0	81.0	91.0	33.0	46.0	29.0	0.0	0.0	22600.0	0.0	0.0	0.0	
5242886	2.0	2.0	20.0			2.0	1.0	0.0	2.0	2.0	4.0	1.0	1.0	2.0	2.0	2.0	2.0	256819.0	20.0	10.0	20.0	20.0	20.0	15.0	5.0	Player15242886	1598.0	2.0	3.0	2016-03-01 00:00:00	200.0	80644.0	52177.0	55595.0	46003.0	22400.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5242890	1.0	3.0	25.0			2.0	1.5	0.0	11.0	38.0	116.0	3.0	7.0	26.0	3.66666666667	5.42857142857	4.46153846154	6340018.0	130.0	65.0	105.0	130.0	135.714285714	150.0	5.0	Nazgul	3932942.0	17.0	43.0	2016-03-01 00:00:00	26047.0	3132784.0	799558.0	735250.0	479787.0	1192639.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	26047.0	132.0	80.0	3055.0	2.0	1.0	1.0	1.0	10.0	0.0	5.0	3.0	3.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	
5242891	23.0	43.0	750.0			2.0	21.5	0.0	54.0	140.0	512.0	3.0	7.0	30.0	18.0	20.0	17.0666666667	62869280.0	1425.0	712.5	675.0	708.333333333	745.0	767.666666667	5.0	RHeSS	21746911.0	21.0	49.0	2016-03-02 00:00:00	7661.0	24597816.0	9119773.0	4447326.0	9874149.0	14830216.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		35600.0	185231.0	2626.0	2817.0	13000.0	20.0	10.0	4.0	1.0	117.0	18.0	106.0	63.0	49.0	32.0	57.0	68.0	0.0	0.0	35600.0	0.0	0.0	0.0	
5242892	6.0	8.0	200.0			2.0	4.0	0.0	10.0	38.0	108.0	3.0	7.0	30.0	3.33333333333	5.42857142857	3.6	4896547.0	375.0	187.5	175.0	173.333333333	212.142857143	202.0	5.0	Ulltra	3483127.0	16.0	43.0	2016-03-02 00:00:00	17977.0	1209659.0	1031867.0	1180683.0	1041874.0	432464.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		4090.0	72208.0	209.0	155.0	2000.0	2.0	5.0	1.0	0.0	36.0	0.0	23.0	32.0	10.0	9.0	11.0	12.0	0.0	0.0	4090.0	0.0	0.0	0.0	
5242894	24.0	51.0	650.0			2.0	25.5	0.0	73.0	182.0	648.0	3.0	7.0	30.0	24.3333333333	26.0	21.6	32120401.0	1300.0	650.0	650.0	661.666666667	656.428571429	595.666666667	5.0	Rabenseele	25039796.0	21.0	49.0	2016-03-02 00:00:00	6220.0	7318992.0	2554895.0	3190482.0	4132700.0	14923332.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		35940.0	321350.0	2588.0	2798.0	32000.0	9.0	14.0	5.0	0.0	192.0	8.0	124.0	72.0	70.0	31.0	47.0	36.0	0.0	0.0	35940.0	0.0	0.0	0.0	
5242895	0.0	0.0	0.0			2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0			1.0	612834.0	0.0	0.0	0.0	0.0	0.0	40.0	5.0	Blitzkrieger	5379.0	3.0	7.0	2016-02-03 00:00:00	800.0	187763.0	137597.0	134843.0	119031.0	33600.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
